gene_id,best_BLAST_hit,eval,pannzer_description,pannzer_gene_name,molecular_function,biological_processes,cellular_component
Hsym|HyS0010.197,XP_002153998.2_PREDICTED:_tRNA_pseudouridine(38/39)_synthase-like_[Hydra_vulgaris],3.10E-128,Phosphoenolpyruvate_carboxykinase,NA,tRNA_pseudouridine_synthase_activity,pseudouridine_synthesis,nucleus
Hsym|HyS0010.198,OXA47158.1_Alpha-tectorin_[Folsomia_candida],5.70E-17,NA,NA,NA,NA,NA
Hsym|HyS0010.199,XP_012566745.1_PREDICTED:_probable_glutamate_receptor_[Hydra_vulgaris],4.00E-50,NA,NA,NA,NA,NA
Hsym|HyS0010.200,XP_002164267.1_PREDICTED:_RING-box_protein_1-like_[Hydra_vulgaris],6.90E-56,RING-box_protein_like,RBX1,zinc_ion_binding,protein_neddylation,Cul7-RING_ubiquitin_ligase_complex
Hsym|HyS0010.201,XP_028397500.1_uncharacterized_protein_LOC114521309_isoform_X1_[Dendronephthya_gigantea],1.00E-246,Aminopeptidase_O,NA,metalloaminopeptidase_activity,proteolysis,nucleolus
Hsym|HyS0010.202,XP_012560374.1_PREDICTED:_RING_finger_protein_150-like_isoform_X2_[Hydra_vulgaris],1.20E-86,RING-type_domain-containing_protein_(Fragment),RNF150,ubiquitin_protein_ligase_activity,ubiquitin-dependent_protein_catabolic_process,integral_component_of_membrane
Hsym|HyS0010.203,"XP_012563062.1_PREDICTED:_coronin-7-like,_partial_[Hydra_vulgaris]",4.10E-290,Putative_actin-binding_protein_coronin,NA,actin_filament_binding,actin_cytoskeleton_organization,Golgi_apparatus
Hsym|HyS0010.204,XP_002156055.3_PREDICTED:_m7GpppX_diphosphatase-like_[Hydra_vulgaris],1.00E-88,Scavenger_mRNA-decapping_enzyme_DcpS,DCPS,m7G(5')pppN_diphosphatase_activity,deadenylation-dependent_decapping_of_nuclear-transcribed_mRNA,nucleoplasm
Hsym|HyS0010.206,XP_012564808.1_PREDICTED:_latrophilin-2-like_[Hydra_vulgaris],1.00E-24,NA,NA,NA,NA,NA
Hsym|HyS0010.207,XP_012564808.1_PREDICTED:_latrophilin-2-like_[Hydra_vulgaris],1.00E-24,NA,NA,NA,NA,NA
Hsym|HyS0010.208,XP_012559579.1_PREDICTED:_uncharacterized_protein_LOC105845893_[Hydra_vulgaris],1.00E-41,NA,NA,NA,NA,NA
Hsym|HyS0010.209,AAS79436.1_vascular_endothelial_growth_factor_receptor_[Podocoryna_carnea],0,Vascular_endothelial_growth_factor_receptor,ROS1,transmembrane_receptor_protein_tyrosine_kinase_activity,peptidyl-tyrosine_phosphorylation,perinuclear_region_of_cytoplasm
Hsym|HyS0010.210,AAS79436.1_vascular_endothelial_growth_factor_receptor_[Podocoryna_carnea],0,Platelet-derived_growth_factor_receptor_alpha,NA,protein_tyrosine_kinase_activity,peptidyl-tyrosine_phosphorylation,receptor_complex
Hsym|HyS0010.212,XP_027571030.1_DNA-directed_RNA_polymerase_III_subunit_RPC2_isoform_X1_[Pipra_filicauda],0,DNA-directed_RNA_polymerase_subunit_beta,POLR3B,DNA-directed_5'-3'_RNA_polymerase_activity,"transcription,_DNA-templated",RNA_polymerase_III_complex
Hsym|HyS0010.213,XP_006630710.1_PREDICTED:_EGF_domain-specific_O-linked_N-acetylglucosamine_transferase_[Lepisosteus_oculatus],8.90E-159,EGF_domain-specific_O-linked_N-acetylglucosamine_transferase,EOGT,"transferase_activity,_transferring_glycosyl_groups",protein_O-linked_glycosylation,endoplasmic_reticulum_lumen
Hsym|HyS0010.214,XP_012556183.1_PREDICTED:_anoctamin-3-like_[Hydra_vulgaris],4.30E-23,NA,NA,NA,NA,NA
Hsym|HyS0010.215,XP_012555740.1_PREDICTED:_cyclic_nucleotide-gated_cation_channel_alpha-3-like_isoform_X1_[Hydra_vulgaris],2.50E-156,Cyclic_nucleotide-gated_olfactory_channel,NA,ion_channel_activity,ion_transmembrane_transport,intracellular_cyclic_nucleotide_activated_cation_channel_complex
Hsym|HyS0010.216,XP_002165373.2_PREDICTED:_transcription_initiation_factor_TFIID_subunit_1_[Hydra_vulgaris],0,Transcription_initiation_factor_TFIID_subunit,TAF1,protein_serine/threonine_kinase_activity,"DNA-templated_transcription,_initiation",transcription_factor_TFIID_complex
Hsym|HyS0010.217,XP_002159052.2_PREDICTED:_protein_phosphatase_methylesterase_1-like_[Hydra_vulgaris],5.30E-124,AB_hydrolase-1_domain-containing_protein_(Fragment),PPME1,protein_methylesterase_activity,protein_demethylation,nucleoplasm
Hsym|HyS0010.218,XP_002163874.3_PREDICTED:_growth_arrest-specific_protein_2-like_[Hydra_vulgaris],1.70E-71,Growth_arrest-specific_protein_2,GAS2,microtubule_binding,apoptotic_process,cytoskeleton
Hsym|HyS0010.220,XP_012554923.1_PREDICTED:_mortality_factor_4-like_protein_1_[Hydra_vulgaris],2.40E-103,Putative_dosage_compensation_regulatory_complex/histone_acetyltransferase_complex,NA,transferase_activity,chromatin_organization,Sin3_complex
Hsym|HyS0010.221,XP_012561755.1_PREDICTED:_fibrillin-2-like_[Hydra_vulgaris],1.60E-77,Latent-transforming_growth_factor_beta-binding_protein_3,NA,calcium_ion_binding,endocardial_cell_development,collagen-containing_extracellular_matrix
Hsym|HyS0010.222,XP_012554923.1_PREDICTED:_mortality_factor_4-like_protein_1_[Hydra_vulgaris],5.10E-91,Putative_dosage_compensation_regulatory_complex/histone_acetyltransferase_complex_subunit,NA,transferase_activity,chromatin_organization,Sin3_complex
Hsym|HyS0010.223,XP_012555593.1_PREDICTED:_dual_serine/threonine_and_tyrosine_protein_kinase-like_isoform_X1_[Hydra_vulgaris],0,Dual_serine/threonine_and_tyrosine_protein_kinase,DSTYK,protein_kinase_activity,protein_phosphorylation,basolateral_plasma_membrane
Hsym|HyS0010.224,XP_012554821.1_PREDICTED:_vascular_endothelial_growth_factor_receptor_2-like_[Hydra_vulgaris],0,Vascular_endothelial_growth_factor_receptor,NA,protein_tyrosine_kinase_activity,peptidyl-tyrosine_phosphorylation,receptor_complex
Hsym|HyS0010.225,XP_021361462.1_uncharacterized_protein_LOC110455591_[Mizuhopecten_yessoensis],3.30E-11,NA,NA,NA,NA,NA
Hsym|HyS0010.226,XP_012560009.1_PREDICTED:_magnesium_transporter_NIPA2-like_[Hydra_vulgaris],2.90E-141,Non-imprinted_in_Prader-Willi/Angelman_syndrome_region_protein_2,NA,magnesium_ion_transmembrane_transporter_activity,magnesium_ion_transmembrane_transport,early_endosome
Hsym|HyS0010.227,XP_002163678.3_PREDICTED:_uncharacterized_protein_LOC100208300_[Hydra_vulgaris],1.20E-92,NA,NA,NA,NA,NA
Hsym|HyS0010.228,XP_002154246.1_PREDICTED:_myotilin-like_[Hydra_vulgaris],4.80E-09,NA,NA,NA,NA,NA
Hsym|HyS0010.229,XP_012562415.1_PREDICTED:_RNA-binding_protein_26-like_[Hydra_vulgaris],9.30E-200,RNA_binding_motif_protein_26_[Ochotona_princeps],RBM26,RNA_binding,mRNA_processing,nucleus
Hsym|HyS0010.230,XP_013421325.1_uncharacterized_protein_LOC106181488_[Lingula_anatina],1.50E-23,NA,NA,NA,NA,NA
Hsym|HyS0010.231,XP_012566931.1_PREDICTED:_probable_phospholipid-transporting_ATPase_VD_[Hydra_vulgaris],0,Phospholipid-transporting_ATPase,NA,ATPase-coupled_intramembrane_lipid_transporter_activity,phospholipid_transport,integral_component_of_membrane
Hsym|HyS0010.232,XP_022790747.1_CDK5_and_ABL1_enzyme_substrate_1-like_[Stylophora_pistillata],1.30E-54,Cyclin_N-terminal_domain-containing_protein_(Fragment),NA,NA,regulation_of_cell_cycle,NA
Hsym|HyS0010.233,XP_012567022.1_PREDICTED:_heparin_sulfate_O-sulfotransferase-like_[Hydra_vulgaris],1.30E-83,Heparan_sulfate_2-O-sulfotransferase_1,HS2ST1,sulfotransferase_activity,morphogenesis_of_an_epithelium,integral_component_of_membrane
Hsym|HyS0010.234,XP_012567023.1_PREDICTED:_peptidyl-prolyl_cis-trans_isomerase_D-like_[Hydra_vulgaris],2.40E-127,Peptidyl-prolyl_cis-trans_isomerase_D,NA,peptidyl-prolyl_cis-trans_isomerase_activity,protein_peptidyl-prolyl_isomerization,cytoplasm
Hsym|HyS0010.235,XP_020905534.1_N-acetylserotonin_O-methyltransferase-like_protein_[Exaiptasia_pallida],6.30E-35,Septum_formation_protein_maf,NA,nucleoside-triphosphate_diphosphatase_activity,methylation,dynein_complex
Hsym|HyS0010.236,XP_012555750.1_PREDICTED:_fibrillin-1-like_[Hydra_vulgaris],4.50E-202,Metalloendopeptidase,NA,calcium_ion_binding,cell-matrix_adhesion,extracellular_region
Hsym|HyS0010.237,XP_004207989.1_PREDICTED:_sterile_alpha_motif_domain-containing_protein_15-like_[Hydra_vulgaris],3.00E-35,Sterile_alpha_motif_domain-containing_protein_15,NA,NA,NA,integral_component_of_membrane
Hsym|HyS0010.238,XP_013381287.1_F-box_protein_SKP2B_[Lingula_anatina],1.30E-32,NA,NA,NA,NA,NA
Hsym|HyS0010.239,PFX25345.1_hypothetical_protein_AWC38_SpisGene10012_[Stylophora_pistillata],2.30E-39,Tetratricopeptide_repeat_protein_9C,NA,NA,NA,NA
Hsym|HyS0010.240,XP_012554881.1_PREDICTED:_ras_GTPase-activating_protein-binding_protein_1-like_[Hydra_vulgaris],1.70E-88,Ras_GTPase-activating_protein-binding_protein_2,NA,RNA_binding,stress_granule_assembly,cytosol
Hsym|HyS0010.241,"XP_022795000.1_39S_ribosomal_protein_L53,_mitochondrial-like_[Stylophora_pistillata]",6.60E-10,NA,NA,NA,NA,NA
Hsym|HyS0010.242,"XP_002154505.3_PREDICTED:_sushi,_von_Willebrand_factor_type_A,_EGF_and_pentraxin_domain-containing_protein_1_[Hydra_vulgaris]",0,"Sushi,_von_Willebrand_factor_type_A,_EGF_and_pentraxin_domain-containing_protein_1",NA,calcium_ion_binding,Notch_signaling_pathway,integral_component_of_membrane
Hsym|HyS0010.243,XP_002164579.1_PREDICTED:_uncharacterized_protein_LOC100200153_[Hydra_vulgaris],4.10E-82,NA,NA,NA,NA,NA
Hsym|HyS0010.244,XP_002162012.1_PREDICTED:_round_spermatid_basic_protein_1-like_[Hydra_vulgaris],3.90E-163,Round_spermatid_basic_protein_1_like,RSBN1L,methyltransferase_activity,methylation,nucleus
Hsym|HyS0010.245,XP_002156053.3_PREDICTED:_beta-mannosidase-like_[Hydra_vulgaris],4.80E-293,Peptidyl-prolyl_cis-trans_isomerase_D,MANBA,"hydrolase_activity,_hydrolyzing_O-glycosyl_compounds",carbohydrate_metabolic_process,lysosome
Hsym|HyS0010.246,XP_012557442.1_PREDICTED:_methionine_adenosyltransferase_2_subunit_beta-like_[Hydra_vulgaris],1.20E-94,S-adenosylmethionine_synthetase,MAT2B,methionine_adenosyltransferase_regulator_activity,S-adenosylmethionine_biosynthetic_process,methionine_adenosyltransferase_complex
Hsym|HyS0010.247,"XP_023361387.1_ankyrin_repeat_domain-containing_protein_26-like,_partial_[Sarcophilus_harrisii]",1.10E-11,NA,NA,NA,NA,NA
Hsym|HyS0010.248,XP_002167164.1_PREDICTED:_inactive_peptidyl-prolyl_cis-trans_isomerase_FKBP6-like_[Hydra_vulgaris],3.30E-140,Peptidylprolyl_isomerase,NA,FK506_binding,protein_peptidyl-prolyl_isomerization,cytoplasm
Hsym|HyS0010.249,"XP_012556061.1_PREDICTED:_dedicator_of_cytokinesis_protein_3-like,_partial_[Hydra_vulgaris]",0,dedicator_of_cytokinesis_protein_5,NA,guanyl-nucleotide_exchange_factor_activity,small_GTPase_mediated_signal_transduction,cytosol
Hsym|HyS0010.250,XP_004207955.1_PREDICTED:_probable_protein_S-acyltransferase_23_[Hydra_vulgaris],2.70E-105,Palmitoyltransferase,NA,protein-cysteine_S-palmitoyltransferase_activity,peptidyl-L-cysteine_S-palmitoylation,Golgi_apparatus
Hsym|HyS0010.251,RDD42449.1_Trehalase_[Trichoplax_sp._H2],3.20E-131,Trehalase,TREH,"alpha,alpha-trehalase_activity",trehalose_metabolic_process,intrinsic_component_of_membrane
Hsym|HyS0010.252,XP_004209723.2_PREDICTED:_transcription_factor_SPT20_homolog_[Hydra_vulgaris],3.10E-215,Opa-interacting_protein_2,EXOSC8,transcription_coregulator_activity,RNA_catabolic_process,exosome_(RNase_complex)
Hsym|HyS0010.253,XP_012558642.1_PREDICTED:_uncharacterized_protein_LOC100197618_[Hydra_vulgaris],9.80E-12,Cyclin-dependent_kinase_inhibitor_1_(Fragment),NA,cyclin-dependent_protein_serine/threonine_kinase_inhibitor_activity,signal_transduction_by_p53_class_mediator,nucleus
Hsym|HyS0010.254,XP_002165927.1_PREDICTED:_protein_phosphatase_1_regulatory_subunit_11-like_[Hydra_vulgaris],6.80E-19,Phosphatase_1_regulatory_subunit_11,NA,protein_serine/threonine_phosphatase_inhibitor_activity,negative_regulation_of_phosphoprotein_phosphatase_activity,protein_phosphatase_type_1_complex
Hsym|HyS0010.255,XP_002156317.3_PREDICTED:_glutathione_gamma-glutamylcysteinyltransferase_3-like_[Hydra_vulgaris],1.40E-145,Glutathione_gammaglutamylcysteinyltransferase_putati,NA,glutathione_gamma-glutamylcysteinyltransferase_activity,phytochelatin_metabolic_process,mitochondrion
Hsym|HyS0010.256,XP_002160519.2_PREDICTED:_uncharacterized_protein_LOC100207904_isoform_X1_[Hydra_vulgaris],1.10E-129,Cyclic_AMP-responsive_element-binding_protein_3,CREB3L1,cAMP_response_element_binding,endoplasmic_reticulum_unfolded_protein_response,nucleus
Hsym|HyS0010.257,XP_020614117.1_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC110052341_[Orbicella_faveolata],2.00E-73,HECT_domain-containing_protein,NA,ubiquitin-protein_transferase_activity,protein_ubiquitination,NA
Hsym|HyS0010.259,NP_001347190.1_dickkopf-related_protein_3_isoform_c_precursor_[Mus_musculus],6.60E-07,NA,NA,NA,NA,NA
Hsym|HyS0010.260,XP_002156317.3_PREDICTED:_glutathione_gamma-glutamylcysteinyltransferase_3-like_[Hydra_vulgaris],1.20E-118,Glutathione_gammaglutamylcysteinyltransferase_putati,NA,glutathione_gamma-glutamylcysteinyltransferase_activity,phytochelatin_metabolic_process,integral_component_of_membrane
Hsym|HyS0010.261,XP_012556635.1_PREDICTED:_potassium_voltage-gated_channel_subfamily_A_member_2-like_[Hydra_vulgaris],2.40E-75,Potassium_voltage-gated_channel_protein_Shaker,NA,voltage-gated_potassium_channel_activity,protein_homooligomerization,voltage-gated_potassium_channel_complex
Hsym|HyS0010.262,XP_002164337.1_PREDICTED:_ras-related_protein_Rap-2a-like_[Hydra_vulgaris],9.10E-24,NA,NA,NA,NA,NA
Hsym|HyS0010.263,NP_001267790.1_nematoblast_specific_protein_[Hydra_vulgaris],1.30E-24,Cuticle_Protein_Unclassified_6,NA,helicase_activity,NA,vacuole
Hsym|HyS0010.264,XP_012557015.1_PREDICTED:_myosin_light_chain_kinase_A-like_[Hydra_vulgaris],1.70E-89,Protein_kinase_domain-containing_protein_(Fragment),NA,phosphorylase_kinase_activity,protein_phosphorylation,phosphorylase_kinase_complex
Hsym|HyS0010.265,XP_004205690.2_PREDICTED:_histamine_H2_receptor-like_[Hydra_vulgaris],3.00E-43,NA,NA,NA,NA,NA
Hsym|HyS0010.267,XP_004205690.2_PREDICTED:_histamine_H2_receptor-like_[Hydra_vulgaris],7.70E-85,NA,NA,NA,NA,NA
Hsym|HyS0010.268,XP_012557113.1_PREDICTED:_uncharacterized_protein_LOC100214209_isoform_X1_[Hydra_vulgaris],1.70E-113,Inositol_hexakisphosphate_and_diphosphoinositol-pentakisphosphate_kinase,NA,exo-alpha-sialidase_activity,protein_homooligomerization,outer_membrane
Hsym|HyS0010.269,XP_012557106.1_PREDICTED:_uncharacterized_protein_LOC100210627_isoform_X2_[Hydra_vulgaris],8.20E-19,NA,NA,NA,NA,NA
Hsym|HyS0010.270,"XP_012564711.1_PREDICTED:_coadhesin-like,_partial_[Hydra_vulgaris]",2.50E-12,NA,NA,NA,NA,NA
Hsym|HyS0010.271,XP_020910787.1_acid-sensing_ion_channel_1-like_[Exaiptasia_pallida],6.60E-42,NA,NA,NA,NA,NA
Hsym|HyS0010.272,"XP_012564711.1_PREDICTED:_coadhesin-like,_partial_[Hydra_vulgaris]",1.30E-81,Hemicentin-1,NA,NA,NA,NA
Hsym|HyS0010.273,XP_012557682.1_PREDICTED:_SCO-spondin-like_[Hydra_vulgaris],6.50E-145,"signal_peptide,_CUB_and_EGF-like_domain-containing_protein_1",NA,calcium_ion_binding,chitin_metabolic_process,extracellular_region
Hsym|HyS0010.274,PFX32409.1_Deoxyribonuclease_gamma_[Stylophora_pistillata],2.90E-65,Flavin-containing_monooxygenase,DNASE1L3,deoxyribonuclease_activity,DNA_catabolic_process,nucleus
Hsym|HyS0010.275,XP_002158911.2_PREDICTED:_uncharacterized_protein_LOC100201052_[Hydra_vulgaris],1.10E-17,NA,NA,NA,NA,NA
Hsym|HyS0010.277,XP_004210028.2_PREDICTED:_uncharacterized_protein_LOC101237842_isoform_X1_[Hydra_vulgaris],2.70E-17,NA,NA,NA,NA,NA
Hsym|HyS0010.278,KYQ92203.1_hypothetical_protein_DLAC_11678_[Tieghemostelium_lacteum],3.30E-07,NA,NA,NA,NA,NA
Hsym|HyS0010.279,XP_013789751.1_GTP-binding_protein_Di-Ras2-like_[Limulus_polyphemus],1.20E-04,NA,NA,NA,NA,NA
Hsym|HyS0010.280,XP_020895260.1_uncharacterized_protein_LOC110234234_[Exaiptasia_pallida],5.00E-120,CxC3_domain-containing_protein,NA,NA,NA,integral_component_of_membrane
Hsym|HyS0010.281,XP_021072865.1_GTPase_RhebL1_[Mus_pahari],9.00E-05,NA,NA,NA,NA,NA
Hsym|HyS0010.283,XP_652547.1_Rab_family_GTPase_[Entamoeba_histolytica_HM-1:IMSS],1.50E-10,NA,NA,NA,NA,NA
Hsym|HyS0010.284,XP_002156537.3_PREDICTED:_protein_YIPF5-like_[Hydra_vulgaris],2.70E-76,NA,NA,NA,NA,NA
Hsym|HyS0010.285,XP_015764612.1_PREDICTED:_uncharacterized_protein_LOC107343546_[Acropora_digitifera],8.10E-23,NA,NA,NA,NA,NA
Hsym|HyS0010.286,XP_028416582.1_uncharacterized_protein_LOC114540659_[Dendronephthya_gigantea],6.20E-27,NA,NA,NA,NA,NA
Hsym|HyS0010.287,XP_012565959.1_PREDICTED:_GTP-binding_protein_10-like_[Hydra_vulgaris],3.80E-101,Mitochondrial_ribosome-associated_GTPase_2,GTPBP10,GTP_binding,ribosome_biogenesis,cytoplasm
Hsym|HyS0010.288,XP_002164477.3_PREDICTED:_exportin-2-like_[Hydra_vulgaris],0,Brefeldin_A-inhibited_guanine_nucleotide-exchange_protein_2,CSE1L,Ran_GTPase_binding,intracellular_protein_transport,nucleus
Hsym|HyS0010.289,XP_012556200.1_PREDICTED:_probable_protein_phosphatase_2C_60_[Hydra_vulgaris],1.50E-106,Serine/threonine_protein_phosphatase,NA,protein_serine/threonine_phosphatase_activity,protein_dephosphorylation,nucleoplasm
Hsym|HyS0010.291,VFV39931.1_adenosine_3-phospho_[Lynx_pardinus],1.30E-49,Adenosine_3'-phospho_5'-phosphosulfate_transporter_2_PAPS_transporter_2,SLC35B3,3'-phosphoadenosine_5'-phosphosulfate_transmembrane_transporter_activity,transmembrane_transport,integral_component_of_membrane
Hsym|HyS0010.292,XP_002164477.3_PREDICTED:_exportin-2-like_[Hydra_vulgaris],0,Brefeldin_A-inhibited_guanine_nucleotide-exchange_protein_2,CSE1L,Ran_GTPase_binding,intracellular_protein_transport,nucleus
Hsym|HyS0010.293,XP_012556200.1_PREDICTED:_probable_protein_phosphatase_2C_60_[Hydra_vulgaris],7.20E-106,Serine/threonine_protein_phosphatase,NA,protein_serine/threonine_phosphatase_activity,protein_dephosphorylation,nucleoplasm
Hsym|HyS0010.295,XP_027045948.1_adenosine_3'-phospho_5'-phosphosulfate_transporter_2-like_[Pocillopora_damicornis],1.10E-95,Adenosine_3'-phospho_5'-phosphosulfate_transporter_2,SLC35B3,3'-phosphoadenosine_5'-phosphosulfate_transmembrane_transporter_activity,transmembrane_transport,integral_component_of_Golgi_membrane
Hsym|HyS0010.296,XP_012554453.1_PREDICTED:_uncharacterized_protein_LOC100197582_isoform_X1_[Hydra_vulgaris],5.70E-130,A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_18,NA,endopeptidase_activity,proteolysis,membrane_attack_complex
Hsym|HyS0010.300,XP_022789963.1_uncharacterized_protein_LOC111329506_[Stylophora_pistillata],3.40E-102,NA,NA,NA,NA,NA
Hsym|HyS0010.301,XP_021371384.1_uncharacterized_protein_LOC110461960_isoform_X2_[Mizuhopecten_yessoensis],9.10E-12,CCHC-type_domain-containing_protein,NA,zinc_ion_binding,NA,NA
Hsym|HyS0010.302,"XP_012559250.1_PREDICTED:_uncharacterized_protein_LOC105845727,_partial_[Hydra_vulgaris]",1.30E-80,Tyrosine-protein_phosphatase_domain-containing_protein,NA,protein_tyrosine_phosphatase_activity,peptidyl-tyrosine_dephosphorylation,NA
Hsym|HyS0010.303,XP_026272243.1_alkylated_DNA_repair_protein_alkB_homolog_8_[Frankliniella_occidentalis],1.80E-32,Alkylated_DNA_repair_protein_alkB,TRMT9B,methyltransferase_activity,methylation,nucleus
Hsym|HyS0010.305,"XP_012555639.1_PREDICTED:_28S_ribosomal_protein_S31,_mitochondrial-like_[Hydra_vulgaris]",5.10E-47,Mitochondrial_ribosomal_protein_S31,NA,structural_constituent_of_ribosome,NA,mitochondrial_small_ribosomal_subunit
Hsym|HyS0010.306,XP_006813346.1_PREDICTED:_uncharacterized_protein_LOC102802577_[Saccoglossus_kowalevskii],2.40E-83,F-box/LRR-repeat_protein_2,NA,ubiquitin-protein_transferase_activity,SCF-dependent_proteasomal_ubiquitin-dependent_protein_catabolic_process,SCF_ubiquitin_ligase_complex
Hsym|HyS0010.307,XP_012555638.1_PREDICTED:_ETS_domain-containing_protein_Elk-3-like_[Hydra_vulgaris],6.80E-43,ETS_domain-containing_protein_(Fragment),NA,sequence-specific_DNA_binding,"regulation_of_transcription,_DNA-templated",nucleus
Hsym|HyS0010.308,XP_012555635.1_PREDICTED:_exonuclease_3'-5'_domain-containing_protein_1-like_[Hydra_vulgaris],4.10E-109,Exonuclease_3'-5'_domain-containing_protein_1,NA,3'-5'_exonuclease_activity,nucleic_acid_phosphodiester_bond_hydrolysis,NA
Hsym|HyS0010.310,XP_027047070.1_F-box/WD_repeat-containing_protein_7-like_[Pocillopora_damicornis],9.70E-34,"WD_domain,_G-beta_repeat/Pentapeptide_repeats_(8_copies)/NACHT_domain_(Fragment)",PLAA,ubiquitin_binding,proteasome-mediated_ubiquitin-dependent_protein_catabolic_process,extracellular_exosome
Hsym|HyS0010.311,XP_002156153.3_PREDICTED:_ferredoxin-fold_anticodon-binding_domain-containing_protein_1-like_isoform_X2_[Hydra_vulgaris],2.10E-104,Intrinsic_to_endoplasmic_reticulum_membrane,FDXACB1,mannosyltransferase_activity,mannosylation,endoplasmic_reticulum_membrane
Hsym|HyS0010.313,XP_012560453.1_PREDICTED:_prostatic_acid_phosphatase-like_isoform_X1_[Hydra_vulgaris],7.50E-106,testicular_acid_phosphatase,ACP2,NA,NA,integral_component_of_membrane
Hsym|HyS0010.314,XP_002155331.1_PREDICTED:_zinc_metalloproteinase_nas-15-like_[Hydra_vulgaris],6.40E-89,Metalloendopeptidase,NA,metalloendopeptidase_activity,proteolysis,extracellular_region
Hsym|HyS0010.315,"XP_012560131.1_PREDICTED:_39S_ribosomal_protein_L22,_mitochondrial-like_[Hydra_vulgaris]",5.10E-65,Mitochondrial_ribosomal_protein_L22,NA,structural_constituent_of_ribosome,translation,large_ribosomal_subunit
Hsym|HyS0010.316,XP_012553831.1_PREDICTED:_solute_carrier_family_25_member_36-A-like_[Hydra_vulgaris],4.10E-117,"Solute_carrier_family_25_member_33,_transcript_variant_X2",NA,transmembrane_transporter_activity,mitochondrial_transport,mitochondrion
Hsym|HyS0010.318,XP_012557539.1_PREDICTED:_uncharacterized_protein_LOC105844922_[Hydra_vulgaris],5.50E-108,"Sarcoglycan,_delta_(dystrophin-associated_glycoprotein)",NA,protein_binding,heart_contraction,sarcoglycan_complex
Hsym|HyS0010.319,XP_020604630.1_transmembrane_protein_33-like_[Orbicella_faveolata],5.10E-49,LOW_QUALITY_PROTEIN:_transmembrane_protein_33,TMEM33,NA,positive_regulation_of_IRE1-mediated_unfolded_protein_response,melanosome
Hsym|HyS0010.320,XP_022799372.1_BTB/POZ_domain-containing_protein_KCTD12-like_[Stylophora_pistillata],7.20E-90,Potassium_channel_tetramerization_domain_containing_16,NA,"3',5'-cyclic-nucleotide_phosphodiesterase_activity",protein_homooligomerization,NA
Hsym|HyS0010.321,XP_026861335.1_guanidinoacetate_N-methyltransferase_[Electrophorus_electricus],1.80E-96,Guanidinoacetate_N-methyltransferase_A,GAMT,guanidinoacetate_N-methyltransferase_activity,creatine_biosynthetic_process,nucleus
Hsym|HyS0010.322,XP_002159138.3_PREDICTED:_cytoplasmic_tyrosine-protein_kinase_BMX_[Hydra_vulgaris],1.20E-221,Tyrosine-protein_kinase,NA,non-membrane_spanning_protein_tyrosine_kinase_activity,peptidyl-tyrosine_phosphorylation,germline_ring_canal
Hsym|HyS0010.323,XP_002164986.2_PREDICTED:_pituitary_homeobox_1-like_[Hydra_vulgaris],4.00E-71,Pituitary_homeobox_transcript_variant_2,NA,sequence-specific_DNA_binding,"regulation_of_transcription,_DNA-templated",nucleus
Hsym|HyS0010.324,XP_028401928.1_serine/threonine-protein_kinase_Nek4-like_isoform_X1_[Dendronephthya_gigantea],4.30E-138,Serine_threonine-protein_kinase,NEK4,protein_kinase_activity,protein_phosphorylation,cytosol
Hsym|HyS0010.325,XP_002165161.2_PREDICTED:_uncharacterized_protein_LOC100209618_[Hydra_vulgaris],9.70E-243,Lecithin_retinol_acyltransferase_b_(Phosphatidylcholine--retinol_O-acyltransferase_b),NA,"transferase_activity,_transferring_acyl_groups",NA,integral_component_of_membrane
Hsym|HyS0010.326,XP_012553537.1_PREDICTED:_uncharacterized_protein_LOC105843137_[Hydra_vulgaris],8.70E-18,NA,NA,NA,NA,NA
Hsym|HyS0010.327,XP_012555769.1_PREDICTED:_transmembrane_protein_131-like_[Hydra_vulgaris],0,Transmembrane_protein_131,TMEM131,NA,NA,integral_component_of_membrane
Hsym|HyS0010.328,XP_012566820.1_PREDICTED:_protein_PAT1_homolog_1-like_[Hydra_vulgaris],3.00E-136,NA,NA,NA,NA,NA
Hsym|HyS0010.330,"XP_012556670.1_PREDICTED:_uncharacterized_protein_LOC100198789,_partial_[Hydra_vulgaris]",8.70E-153,G-protein_coupled_receptor_126,NA,G_protein-coupled_receptor_activity,cell_surface_receptor_signaling_pathway,integral_component_of_membrane
Hsym|HyS0010.331,XP_012559938.1_PREDICTED:_H/ACA_ribonucleoprotein_complex_subunit_1-like_[Hydra_vulgaris],3.60E-43,H/ACA_ribonucleoprotein_complex_subunit,GAR1,box_H/ACA_snoRNA_binding,pseudouridine_synthesis,nucleolus
Hsym|HyS0010.332,XP_012558700.1_PREDICTED:_uncharacterized_protein_LOC105845457_[Hydra_vulgaris],7.00E-144,NA,NA,NA,NA,NA
Hsym|HyS0010.333,XP_015772497.1_PREDICTED:_solute_carrier_family_22_member_15-like_[Acropora_digitifera],1.10E-75,NA,NA,NA,NA,NA
Hsym|HyS0010.334,XP_020616078.1_organic_cation_transporter_protein-like_[Orbicella_faveolata],1.60E-82,NA,NA,NA,NA,NA
Hsym|HyS0010.335,XP_020616078.1_organic_cation_transporter_protein-like_[Orbicella_faveolata],5.40E-83,NA,NA,NA,NA,NA
